2022-03-27 17:25:04,439 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-03-27 17:25:04,479 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-03-27 17:25:04,480 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-03-27 17:25:04,480 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-03-27 17:25:04,482 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-03-27 17:25:04,483 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-03-27 17:25:04,484 INFO  SwAddin.cs: 201 - Setting up command manager
2022-03-27 17:25:04,485 INFO  SwAddin.cs: 204 - Adding command manager
2022-03-27 17:25:04,488 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-03-27 17:25:04,489 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-03-27 17:25:04,489 INFO  SwAddin.cs: 210 - Adding event handlers
2022-03-27 17:25:04,491 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-03-27 17:35:41,419 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1
2022-03-27 17:35:41,422 INFO  SwAddin.cs: 299 - Save is required
2022-03-27 17:35:41,422 INFO  SwAddin.cs: 313 - Saving assembly
2022-03-27 17:35:41,423 INFO  SwAddin.cs: 316 - Opening property manager
2022-03-27 17:35:41,442 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2022-03-27 17:35:41,447 INFO  ExportHelperExtension.cs: 1136 - Found 31 in Assem1
2022-03-27 17:35:41,448 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem1
2022-03-27 17:35:41,448 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-03-27 17:35:41,449 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2022-03-27 17:35:41,451 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from gripper_hode-1
2022-03-27 17:35:41,451 INFO  ExportHelperExtension.cs: 1136 - Found 26 in gripper_hode-1
2022-03-27 17:35:41,451 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in gripper_hode-1
2022-03-27 17:35:41,452 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from gripper_left-1
2022-03-27 17:35:41,452 INFO  ExportHelperExtension.cs: 1136 - Found 28 in gripper_left-1
2022-03-27 17:35:41,453 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in gripper_left-1
2022-03-27 17:35:41,453 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from gripper_right-1
2022-03-27 17:35:41,453 INFO  ExportHelperExtension.cs: 1136 - Found 28 in gripper_right-1
2022-03-27 17:35:41,454 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in gripper_right-1
2022-03-27 17:35:41,454 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2022-03-27 17:35:41,454 INFO  ExportHelperExtension.cs: 1136 - Found 31 in Assem1
